scope,symbol,alignment_state,count,1h.valid,1h.mean_return_bps,1h.median_return_bps,1h.positive_return_rate,1h.mfe_long_median_bps,1h.mae_long_median_bps,1h.long_stop_hit_rate,1h.long_take_hit_rate,1h.short_stop_hit_rate,1h.short_take_hit_rate,2h.valid,2h.mean_return_bps,2h.median_return_bps,2h.positive_return_rate,2h.mfe_long_median_bps,2h.mae_long_median_bps,2h.long_stop_hit_rate,2h.long_take_hit_rate,2h.short_stop_hit_rate,2h.short_take_hit_rate,4h.valid,4h.mean_return_bps,4h.median_return_bps,4h.positive_return_rate,4h.mfe_long_median_bps,4h.mae_long_median_bps,4h.long_stop_hit_rate,4h.long_take_hit_rate,4h.short_stop_hit_rate,4h.short_take_hit_rate
ALL,ALL,BEAR_MATRIX__BEAR_TOPOLOGY,563,563,-1.267896191465639,0.8569760528764903,0.5062166962699822,26.839949145358588,-31.71892155666822,0.325044404973357,0.24866785079928952,0.24866785079928952,0.325044404973357,563,-1.1251731121302098,6.868131868131844,0.5488454706927176,40.21378042614154,-44.26896386695467,0.4422735346358792,0.3978685612788632,0.3978685612788632,0.4422735346358792,563,-4.795814434162768,1.1859582542705915,0.5062166962699822,57.397044052232005,-61.53846153846176,0.5808170515097691,0.5488454706927176,0.5488454706927176,0.5808170515097691
ALL,ALL,BEAR_MATRIX__BULL_TOPOLOGY,1175,1175,1.0831558986300085,2.234949947128584,0.5285106382978724,22.23005744556472,-22.773929762389677,0.23914893617021277,0.2076595744680851,0.2076595744680851,0.23914893617021277,1175,0.3523534340279566,0.9820635905821717,0.5131914893617021,31.40330372548572,-33.52477436168178,0.3727659574468085,0.32340425531914896,0.32340425531914896,0.3727659574468085,1175,-1.6137585566866324,-0.09333246222986702,0.4978723404255319,44.41033022335894,-52.3607303990492,0.5191489361702127,0.454468085106383,0.454468085106383,0.5191489361702127
ALL,ALL,BEAR_MATRIX__NEUTRAL_TOPOLOGY,2741,2740,-0.7445825723445221,0.0,0.49616928128420285,25.396730052240635,-27.767230454031623,0.27883211678832115,0.23065693430656933,0.23065693430656933,0.27883211678832115,2740,-1.7148185747613416,1.159555008150015,0.5049252097774535,35.763585904117214,-41.13364113884744,0.41751824817518246,0.3613138686131387,0.3613138686131387,0.41751824817518246,2740,-1.7374895819844618,-0.530212736554736,0.4950747902225465,53.0867853858108,-59.57681273459636,0.5667883211678832,0.5215328467153285,0.5215328467153285,0.5667883211678832
ALL,ALL,BULL_MATRIX__BEAR_TOPOLOGY,580,580,-0.6433092502671747,-2.7588275888246194,0.4724137931034483,24.375396041539375,-27.53413315334741,0.27413793103448275,0.2413793103448276,0.2413793103448276,0.27413793103448275,580,-2.3698426986627847,-2.802740503005108,0.46551724137931033,38.21037216251821,-41.491408259558554,0.41724137931034483,0.3724137931034483,0.3724137931034483,0.41724137931034483,580,-3.6208740605135197,-5.413969321647616,0.4672413793103448,52.401542089974825,-62.64510139762314,0.5827586206896552,0.5224137931034483,0.5224137931034483,0.5827586206896552
ALL,ALL,BULL_MATRIX__BULL_TOPOLOGY,1310,1310,-0.534136313482657,-0.31907481058079945,0.4954198473282443,20.24836124656759,-20.766889175624637,0.17862595419847327,0.1732824427480916,0.1732824427480916,0.17862595419847327,1310,-0.9487124233845872,-0.29790948122387917,0.4946564885496183,29.341027262672625,-29.51078311799582,0.30305343511450383,0.2916030534351145,0.2916030534351145,0.30305343511450383,1310,-0.06333654922394208,0.0,0.49923664122137407,42.87153608670713,-43.53854202425511,0.44732824427480916,0.4381679389312977,0.4381679389312977,0.44732824427480916
ALL,ALL,BULL_MATRIX__NEUTRAL_TOPOLOGY,2850,2848,0.6404388431088809,-0.17869394833447405,0.4926315789473684,24.356910776481833,-24.520940990260808,0.22226123595505617,0.23174157303370788,0.23174157303370788,0.22226123595505617,2848,1.922667582110394,-1.1655011655009595,0.48771929824561405,35.20591535093098,-36.5851824727298,0.3616573033707865,0.3732443820224719,0.3732443820224719,0.3616573033707865,2848,2.314896691914052,-0.8772684776697792,0.49157894736842106,52.410016488319,-52.64389619027699,0.523876404494382,0.5154494382022472,0.5154494382022472,0.523876404494382
ALL,ALL,NEUTRAL_MATRIX__BEAR_TOPOLOGY,10,10,-13.735108665281604,-21.31509505897411,0.4,48.46308860736559,-55.90437911554835,0.7,0.4,0.4,0.7,10,-1.3114070763663421,-3.020125739351953,0.5,56.106168817608996,-66.89917119697186,0.7,0.6,0.6,0.7,10,30.280033643418573,85.89553622921464,0.6,184.03302861747517,-101.86011883554613,0.8,0.8,0.8,0.8
ALL,ALL,NEUTRAL_MATRIX__BULL_TOPOLOGY,18,18,7.580608496713443,-24.27866234956777,0.4444444444444444,37.55669601286593,-46.191858761714386,0.4444444444444444,0.3888888888888889,0.3888888888888889,0.4444444444444444,18,-13.869137965673202,-16.4090460714944,0.2777777777777778,37.55669601286593,-60.30965034580559,0.6111111111111112,0.3888888888888889,0.3888888888888889,0.6111111111111112,18,-0.49981786868559336,-16.923146486128026,0.4444444444444444,49.44007734152378,-90.32474670344793,0.7222222222222222,0.5,0.5,0.7222222222222222
ALL,ALL,NEUTRAL_MATRIX__NEUTRAL_TOPOLOGY,89,89,2.82857227609928,2.2976249038975105,0.5056179775280899,41.118301285008044,-29.952764926622912,0.33707865168539325,0.43820224719101125,0.43820224719101125,0.33707865168539325,89,11.810128141137291,14.270424545128613,0.5393258426966292,73.44996045911768,-41.28433567055501,0.4606741573033708,0.6067415730337079,0.6067415730337079,0.4606741573033708,89,12.998781196614772,27.38747320790491,0.651685393258427,103.25369191979794,-58.98273282716193,0.5730337078651685,0.7303370786516854,0.7303370786516854,0.5730337078651685
SYMBOL,BTCUSDT,BEAR_MATRIX__BEAR_TOPOLOGY,56,56,4.175018242900913,-0.31623500074129396,0.5,23.097494003379015,-24.193477679370634,0.17857142857142858,0.19642857142857142,0.19642857142857142,0.17857142857142858,56,2.468648740560868,8.614420988048987,0.5178571428571429,39.837057812228686,-27.32712606316412,0.3392857142857143,0.375,0.375,0.3392857142857143,56,9.192801003162161,3.5569288403625166,0.5178571428571429,55.04630824555989,-51.8373728211996,0.5178571428571429,0.5357142857142857,0.5357142857142857,0.5178571428571429
