symbol,entry_timeframe,alignment,window_minutes,events,mean_mfe_bps,median_mfe_bps,q25_mfe_bps,q75_mfe_bps,q90_mfe_bps,mean_mae_bps,median_mae_bps,q10_mae_bps,mean_terminal_return_bps,median_terminal_return_bps,terminal_win_rate,terminal_loss_rate,mean_time_to_mfe_minutes,median_time_to_mfe_minutes,target_25bps_hit_rate,target_25bps_median_hit_minutes,target_50bps_hit_rate,target_50bps_median_hit_minutes,target_100bps_hit_rate,target_100bps_median_hit_minutes,t25_s25_target_first_rate,t25_s25_stop_first_rate,t25_s25_resolved_events,t25_s25_resolved_target_win_rate,t50_s25_target_first_rate,t50_s25_stop_first_rate,t50_s25_resolved_events,t50_s25_resolved_target_win_rate,t50_s50_target_first_rate,t50_s50_stop_first_rate,t50_s50_resolved_events,t50_s50_resolved_target_win_rate,t100_s50_target_first_rate,t100_s50_stop_first_rate,t100_s50_resolved_events,t100_s50_resolved_target_win_rate,t100_s100_target_first_rate,t100_s100_stop_first_rate,t100_s100_resolved_events,t100_s100_resolved_target_win_rate
BTCUSDT,15m,DAILY_4H,15,303,18.800305596087757,10.441767068272156,3.604607236437074,26.716548550439477,45.874665027565904,-16.08570954166712,-11.341085728679978,-37.23125926964377,2.185060500813165,-2.478171968675058,0.46534653465346537,0.5346534653465347,7.075907590759076,6.0,0.264026402640264,6.0,0.07920792079207921,9.5,0.013201320132013201,11.5,0.24092409240924093,0.1617161716171617,122,0.5983606557377049,0.066006600660066,0.1848184818481848,76,0.2631578947368421,0.07920792079207921,0.039603960396039604,36,0.6666666666666666,0.013201320132013201,0.0429042904290429,17,0.23529411764705882,0.013201320132013201,0.0,4,1.0
BTCUSDT,15m,DAILY_4H,30,303,27.16519777136953,15.355186687293632,7.0503477473893295,36.62831510391151,58.29199588027568,-23.075224161125924,-15.013450010977758,-49.838186337443965,1.336017902024713,-1.4328148495079684,0.48184818481848185,0.5181518151815182,14.102310231023102,14.0,0.37293729372937295,8.0,0.1419141914191419,14.0,0.04950495049504951,19.0,0.32673267326732675,0.23432343234323433,170,0.5823529411764706,0.1188118811881188,0.2838283828382838,122,0.29508196721311475,0.1419141914191419,0.0891089108910891,70,0.6142857142857143,0.04950495049504951,0.09570957095709572,44,0.3409090909090909,0.04950495049504951,0.0231023102310231,22,0.6818181818181818
BTCUSDT,15m,DAILY_4H,60,303,36.445919074979734,21.349487362600783,9.452631364570419,46.65813441500632,93.23543390140858,-33.694730385778634,-22.606592713316775,-69.61975406089981,-2.794508776784696,-2.913181253380026,0.4521452145214521,0.5478547854785478,27.221122112211223,24.0,0.47854785478547857,13.0,0.23432343234323433,24.0,0.0891089108910891,28.0,0.39603960396039606,0.33003300330033003,220,0.5454545454545454,0.17491749174917492,0.42244224422442245,181,0.292817679558011,0.22112211221122113,0.18811881188118812,124,0.5403225806451613,0.0858085808580858,0.19801980198019803,86,0.3023255813953488,0.0891089108910891,0.0462046204620462,41,0.6585365853658537
BTCUSDT,15m,DAILY_4H,120,303,57.38491787945504,35.88717949715159,13.134052795740203,74.94627828343647,133.60995776537044,-47.43802689913725,-32.759006884843785,-105.72113371194501,5.617362634995784,-3.739608204125222,0.45544554455445546,0.5445544554455446,58.23762376237624,56.0,0.6072607260726073,21.0,0.3696369636963696,42.5,0.17491749174917492,59.0,0.46204620462046203,0.39933993399339934,261,0.5363984674329502,0.24752475247524752,0.5214521452145214,233,0.3218884120171674,0.33003300330033003,0.297029702970297,190,0.5263157894736842,0.1485148514851485,0.3432343234323432,149,0.30201342281879195,0.16831683168316833,0.09900990099009901,81,0.6296296296296297
BTCUSDT,15m,DAILY_4H,240,303,76.90942524435665,55.08407924796677,19.629731418276954,109.63698835743219,180.03431552213513,-67.98195599880101,-50.83816672565411,-150.12772566976597,2.4031729691832853,-3.9647477287663158,0.46864686468646866,0.5313531353135313,109.84818481848185,102.0,0.6963696369636964,26.0,0.5181518151815182,71.0,0.2706270627062706,104.5,0.5016501650165016,0.44224422442244227,286,0.5314685314685315,0.297029702970297,0.6105610561056105,275,0.32727272727272727,0.429042904290429,0.37293729372937295,243,0.5349794238683128,0.21782178217821782,0.45544554455445546,204,0.3235294117647059,0.25742574257425743,0.21782178217821782,144,0.5416666666666666
BTCUSDT,15m,DAILY_4H_1H,15,153,21.69206624455199,12.229729729729133,3.9712932232705,31.14630982453903,48.475367669508444,-16.699463673202516,-11.967801909359421,-37.2840884834309,3.500884650701633,-2.528631483569299,0.4444444444444444,0.5555555555555556,6.96078431372549,6.0,0.30718954248366015,6.0,0.09803921568627451,9.0,0.0196078431372549,12.0,0.27450980392156865,0.1437908496732026,64,0.65625,0.0784313725490196,0.16993464052287582,38,0.3157894736842105,0.09803921568627451,0.032679738562091505,20,0.75,0.0196078431372549,0.0392156862745098,9,0.3333333333333333,0.0196078431372549,0.0,3,1.0
BTCUSDT,15m,DAILY_4H_1H,30,153,31.935271856411717,16.882186674471722,7.454083951274892,43.29994607931154,75.40077035273337,-25.457063066383995,-15.013450010977758,-54.071554890700035,3.3001666515494614,-1.4328148495079684,0.48366013071895425,0.5163398692810458,14.006535947712418,13.0,0.43790849673202614,8.0,0.1895424836601307,14.0,0.06535947712418301,19.5,0.38562091503267976,0.2222222222222222,93,0.6344086021505376,0.16339869281045752,0.28104575163398693,68,0.36764705882352944,0.1895424836601307,0.10457516339869281,45,0.6444444444444445,0.06535947712418301,0.11764705882352941,28,0.35714285714285715,0.06535947712418301,0.032679738562091505,15,0.6666666666666666
BTCUSDT,15m,DAILY_4H_1H,60,153,43.27801287525679,27.440873256519005,9.977494373594187,54.939914655272034,108.97088513971468,-35.24158743941724,-22.47135212981144,-77.98529997130888,-1.3325760604727108,-2.2286078546596144,0.45751633986928103,0.5424836601307189,27.22875816993464,25.0,0.5359477124183006,10.5,0.3006535947712418,25.0,0.12418300653594772,30.0,0.4444444444444444,0.3333333333333333,119,0.5714285714285714,0.2222222222222222,0.42483660130718953,99,0.3434343434343434,0.27450980392156865,0.20915032679738563,74,0.5675675675675675,0.11764705882352941,0.2222222222222222,52,0.34615384615384615,0.12418300653594772,0.058823529411764705,28,0.6785714285714286
BTCUSDT,15m,DAILY_4H_1H,120,153,66.93489647389022,44.27154455396432,13.368705181819873,91.9092048461212,164.4438372589528,-49.391360905456104,-33.271128672395236,-109.7501762044275,10.740532633707108,-2.3980815347723894,0.477124183006536,0.5228758169934641,59.99346405228758,56.0,0.6470588235294118,18.0,0.45098039215686275,40.0,0.2222222222222222,46.5,0.5032679738562091,0.39215686274509803,137,0.5620437956204379,0.3137254901960784,0.49673202614379086,124,0.3870967741935484,0.39869281045751637,0.3006535947712418,107,0.5700934579439252,0.1830065359477124,0.35294117647058826,82,0.34146341463414637,0.21568627450980393,0.09803921568627451,48,0.6875
BTCUSDT,15m,DAILY_4H_1H,240,153,90.81679256885728,66.26210462984173,26.578692599090736,122.47307973700883,209.9251949919525,-69.26383930079797,-53.5329424578801,-150.81403858529941,8.370309976329033,1.1328273371224995,0.5032679738562091,0.49673202614379086,117.45098039215686,109.0,0.7516339869281046,22.0,0.5947712418300654,59.0,0.33986928104575165,100.5,0.5490196078431373,0.4117647058823529,147,0.5714285714285714,0.3660130718954248,0.5620915032679739,142,0.39436619718309857,0.5032679738562091,0.35947712418300654,132,0.5833333333333334,0.2875816993464052,0.45098039215686275,113,0.3893805309734513,0.3333333333333333,0.19607843137254902,81,0.6296296296296297
