symbol,rows,direction_accuracy,balanced_accuracy,return_mae_bps,mean_confidence
BTCUSDT,27092,0.7963974605049461,0.4477983178962224,10.409837892540873,0.619359206176754
ETHUSDT,27257,0.6105220677257218,0.47188157235973915,14.401304359389714,0.5171588956703493
SOLUSDT,27414,0.3097687313051725,0.4158308811140697,14.708495550952007,0.42361968192976124
