iter	Passed	Remaining
408	4969	9610
409	4983	9602
410	4996	9591
411	5012	9586
412	5026	9578
413	5041	9571
414	5053	9558
415	5066	9548
416	5078	9535
417	5092	9526
418	5103	9513
419	5118	9505
420	5130	9492
421	5143	9483
422	5155	9469
423	5167	9457
424	5179	9444
425	5192	9433
426	5204	9421
427	5217	9410
428	5229	9397
429	5241	9385
430	5252	9372
431	5265	9360
432	5276	9346
433	5289	9335
434	5300	9322
435	5313	9311
436	5324	9296
437	5337	9285
438	5348	9272
439	5362	9261
440	5373	9247
441	5385	9235
442	5396	9221
443	5409	9211
444	5421	9198
445	5433	9186
446	5445	9173
447	5459	9164
448	5472	9154
449	5485	9142
450	5496	9127
451	5509	9117
452	5520	9103
453	5533	9092
454	5545	9080
455	5558	9069
456	5570	9056
457	5583	9046
458	5595	9033
459	5610	9025
460	5622	9013
461	5636	9003
462	5648	8991
463	5661	8981
464	5673	8967
465	5686	8956
466	5697	8943
467	5711	8933
468	5723	8920
469	5736	8909
470	5747	8895
471	5760	8884
472	5771	8870
473	5784	8859
474	5795	8845
475	5807	8832
476	5818	8819
477	5832	8809
478	5843	8795
479	5854	8781
480	5865	8767
481	5878	8756
482	5889	8743
483	5902	8731
484	5913	8718
485	5926	8707
486	5938	8693
487	5950	8682
488	5961	8668
489	5974	8656
490	5985	8643
491	5998	8632
492	6009	8618
493	6022	8606
494	6033	8592
495	6045	8581
496	6056	8567
497	6070	8556
498	6082	8544
499	6094	8532
500	6105	8517
501	6117	8506
502	6128	8492
503	6139	8478
504	6151	8466
505	6164	8454
506	6175	8440
507	6188	8429
508	6199	8416
509	6212	8405
510	6225	8393
511	6238	8382
512	6249	8369
513	6263	8359
514	6276	8347
515	6291	8339
516	6303	8327
517	6317	8318
518	6330	8306
519	6346	8298
520	6357	8285
521	6371	8275
522	6383	8263
523	6396	8251
524	6406	8237
525	6419	8226
526	6430	8211
527	6443	8200
528	6455	8188
529	6469	8177
530	6479	8164
531	6493	8152
532	6504	8139
533	6516	8127
534	6528	8114
535	6540	8102
536	6552	8089
537	6564	8077
538	6575	8063
539	6587	8051
540	6599	8038
541	6610	8024
542	6622	8013
543	6635	8001
544	6645	7987
545	6658	7975
546	6669	7961
547	6682	7950
548	6693	7937
549	6705	7925
550	6717	7912
551	6731	7901
552	6742	7888
553	6755	7877
554	6766	7863
555	6779	7852
556	6791	7839
557	6803	7827
558	6814	7814
559	6827	7802
560	6837	7788
561	6850	7776
562	6860	7762
563	6873	7751
564	6884	7737
565	6898	7726
566	6909	7713
567	6923	7703
568	6933	7689
569	6946	7678
570	6959	7666
571	6971	7654
572	6985	7643
573	6998	7632
574	7011	7620
575	7023	7609
576	7036	7596
577	7049	7586
578	7061	7573
579	7074	7562
580	7085	7549
581	7098	7537
582	7109	7524
583	7122	7512
584	7133	7499
585	7146	7487
586	7158	7475
587	7171	7463
588	7181	7450
589	7194	7438
590	7206	7426
591	7220	7415
592	7231	7402
593	7244	7391
594	7256	7378
595	7269	7367
596	7281	7354
597	7293	7342
598	7304	7329
599	7317	7317
600	7328	7304
601	7341	7292
602	7352	7279
603	7365	7268
604	7377	7255
605	7389	7243
606	7401	7230
607	7414	7219
608	7426	7206
609	7438	7194
610	7450	7182
611	7463	7170
612	7475	7158
613	7487	7146
614	7499	7133
615	7512	7122
616	7524	7109
617	7537	7098
618	7548	7085
619	7560	7072
620	7572	7060
621	7585	7049
622	7598	7037
623	7612	7027
624	7625	7015
625	7638	7004
626	7650	6991
627	7664	6981
628	7677	6969
629	7691	6958
630	7702	6945
631	7716	6935
632	7728	6922
633	7741	6911
634	7753	6899
635	7767	6887
636	7779	6875
637	7792	6864
638	7804	6851
639	7817	6839
640	7828	6826
641	7840	6814
642	7851	6801
643	7862	6787
644	7874	6775
645	7886	6763
646	7897	6750
647	7911	6739
648	7922	6725
649	7934	6713
650	7945	6700
651	7958	6688
652	7969	6675
653	7982	6664
654	7994	6651
655	8007	6640
656	8019	6627
657	8031	6615
658	8043	6602
659	8055	6591
660	8066	6577
661	8078	6564
662	8089	6552
663	8102	6540
664	8113	6527
665	8126	6515
666	8138	6503
667	8151	6491
668	8163	6479
669	8175	6467
670	8187	6454
671	8200	6443
672	8212	6430
673	8226	6420
674	8239	6408
675	8252	6396
676	8265	6385
677	8278	6373
678	8290	6361
679	8303	6349
680	8315	6337
681	8330	6327
682	8342	6315
683	8356	6303
684	8370	6292
685	8383	6281
686	8394	6268
687	8407	6256
688	8419	6244
689	8433	6233
690	8444	6220
691	8457	6208
692	8469	6196
693	8483	6185
694	8494	6172
695	8507	6160
696	8518	6147
697	8531	6135
698	8542	6122
699	8554	6110
700	8565	6097
701	8577	6084
702	8588	6071
703	8601	6060
704	8612	6047
705	8624	6035
706	8638	6023
707	8651	6011
708	8661	5998
709	8673	5986
710	8684	5973
711	8697	5961
712	8708	5948
713	8721	5936
714	8733	5924
715	8746	5912
716	8757	5899
717	8769	5887
718	8781	5874
719	8794	5862
720	8805	5850
721	8818	5838
722	8830	5825
723	8842	5813
724	8853	5800
725	8865	5788
726	8877	5776
727	8889	5763
728	8900	5750
729	8916	5740
730	8929	5728
731	8945	5719
732	8957	5707
733	8970	5695
734	8983	5683
735	8998	5672
736	9011	5661
737	9026	5650
738	9038	5638
739	9051	5626
740	9063	5614
741	9076	5602
742	9088	5590
743	9101	5578
744	9113	5565
745	9126	5553
746	9137	5541
747	9149	5529
748	9161	5516
749	9174	5504
750	9184	5491
751	9198	5479
752	9209	5466
753	9221	5454
754	9232	5441
755	9245	5429
756	9256	5417
757	9269	5405
758	9280	5392
759	9293	5380
760	9304	5367
761	9317	5355
762	9328	5342
763	9342	5331
764	9354	5319
765	9368	5307
766	9379	5295
767	9390	5282
768	9402	5269
769	9415	5257
770	9427	5245
771	9440	5233
772	9451	5221
773	9465	5209
774	9477	5197
775	9490	5185
776	9502	5173
777	9513	5160
778	9524	5147
779	9537	5135
780	9548	5122
781	9560	5110
782	9572	5097
783	9585	5086
784	9597	5074
785	9610	5062
786	9624	5050
787	9638	5039
788	9650	5027
789	9663	5015
790	9675	5003
791	9688	4991
792	9700	4978
793	9713	4966
794	9725	4954
795	9738	4942
796	9751	4930
797	9763	4918
798	9776	4906
799	9789	4894
800	9801	4882
801	9814	4870
802	9828	4859
803	9840	4846
804	9852	4834
805	9864	4822
806	9875	4809
807	9887	4796
808	9899	4784
809	9912	4772
810	9924	4760
811	9937	4748
812	9949	4736
813	9963	4724
814	9975	4712
815	9987	4700
816	9999	4687
817	10013	4676
818	10026	4664
819	10039	4652
820	10051	4639
821	10063	4627
822	10074	4615
823	10087	4603
824	10098	4590
825	10112	4578
826	10124	4566
827	10136	4554
828	10148	4541
829	10162	4530
830	10174	4517
831	10187	4505
832	10199	4493
833	10211	4481
834	10222	4468
835	10236	4457
836	10247	4444
837	10260	4432
838	10272	4420
839	10285	4407
840	10297	4395
841	10310	4383
842	10322	4371
843	10336	4360
844	10348	4347
845	10364	4336
846	10376	4324
847	10390	4312
848	10403	4301
849	10417	4289
850	10431	4278
851	10444	4266
852	10456	4253
853	10469	4241
854	10480	4229
855	10494	4217
856	10504	4204
857	10517	4192
858	10528	4179
859	10541	4167
860	10552	4154
861	10565	4142
862	10577	4130
863	10590	4118
864	10601	4105
865	10612	4093
866	10624	4080
867	10636	4068
868	10648	4055
869	10661	4044
870	10671	4031
871	10684	4019
872	10696	4006
873	10709	3994
874	10720	3981
875	10732	3969
876	10744	3957
877	10757	3945
878	10768	3932
879	10780	3920
880	10792	3907
881	10805	3895
882	10817	3883
883	10830	3871
884	10841	3858
885	10855	3847
886	10866	3834
887	10879	3822
888	10890	3809
889	10903	3797
890	10914	3785
891	10927	3773
892	10938	3760
893	10952	3748
894	10962	3735
895	10978	3724
896	10989	3712
897	11003	3700
898	11015	3688
899	11030	3676
900	11042	3664
901	11056	3652
902	11068	3640
903	11082	3628
904	11094	3616
905	11109	3604
906	11120	3592
907	11133	3580
908	11145	3567
909	11159	3556
910	11171	3543
911	11185	3532
912	11196	3519
913	11209	3507
914	11221	3495
915	11236	3483
916	11247	3471
917	11260	3459
918	11272	3446
919	11285	3434
920	11296	3422
921	11310	3410
922	11322	3397
923	11335	3385
924	11346	3373
925	11360	3361
926	11372	3349
