iter	TotalF1:average=Macro	MultiClass
312	0.6954475048	0.7897833605
313	0.6951313935	0.7892308893
314	0.6953342692	0.7885541437
315	0.6956476422	0.7879548411
316	0.6954877464	0.78761068
317	0.695776668	0.7870644058
318	0.695943546	0.7864356839
319	0.6967091037	0.7861328173
320	0.6969653657	0.785543206
321	0.6977156959	0.7847718698
322	0.6976193591	0.7842108671
323	0.6980566946	0.7831800722
324	0.6998187861	0.7821788366
325	0.7014008287	0.7811228595
326	0.7022488194	0.7803986311
327	0.7024354313	0.780068715
328	0.7035765664	0.7793715874
329	0.703177539	0.7789469334
330	0.7043322285	0.7783643523
331	0.7048900356	0.7775455396
332	0.7057763123	0.777100347
333	0.7072373965	0.7765136969
334	0.7092944174	0.7755722636
335	0.7098449762	0.775265385
336	0.7085919195	0.7749198145
337	0.7083485338	0.7745567884
338	0.7095539479	0.7737959343
339	0.7108445997	0.7728758319
340	0.7110532267	0.7724882225
341	0.7110923472	0.7720454833
342	0.7112250846	0.7715529332
343	0.7121776133	0.7709006652
344	0.7122226941	0.7703618017
345	0.712912786	0.7698226195
346	0.7132363389	0.7694323077
347	0.7129348474	0.7689286833
348	0.7137715127	0.7683354996
349	0.7137495851	0.7678471387
350	0.7144607461	0.7671452417
351	0.7148804127	0.7665773724
352	0.715192189	0.7661631473
353	0.716149754	0.765507522
354	0.7164798787	0.764844267
355	0.7180085938	0.764266436
356	0.7189506248	0.7637883563
357	0.7198482969	0.7632897951
358	0.7189794872	0.7629192999
359	0.7205041113	0.7622530444
360	0.7193536022	0.7616784952
361	0.7203700252	0.7613134075
362	0.7211546522	0.7609276633
363	0.7217710522	0.7604572769
364	0.7212740098	0.7599519076
365	0.7220543805	0.7594578258
366	0.7217083704	0.7589783043
367	0.7225462872	0.7582812109
368	0.7235390757	0.7574634353
369	0.7248972093	0.757004154
370	0.7246130541	0.7566047025
371	0.7244118124	0.756270337
372	0.7241230965	0.7556360834
373	0.7244036098	0.7552621231
374	0.7256722317	0.754627521
375	0.7255548114	0.7542321443
376	0.726680627	0.7538244665
377	0.7285791836	0.7532939714
378	0.7295901747	0.7529681751
379	0.7303737894	0.7524176966
380	0.7305746263	0.7518617121
381	0.7310293987	0.7513467865
382	0.7319431898	0.7508821622
383	0.731926345	0.7504145461
384	0.7323494247	0.7498495956
385	0.7323367917	0.7494055809
386	0.7324005868	0.7488188556
387	0.732677992	0.7482814492
388	0.7333816914	0.7478523364
389	0.7338464839	0.7474690774
390	0.7339955255	0.7471745529
391	0.7348746226	0.7466881163
392	0.7355599009	0.7460145085
393	0.7363659274	0.7454360347
394	0.7366882201	0.7449081906
395	0.7376918356	0.7444376127
396	0.7377920082	0.743781662
397	0.737722424	0.743127081
398	0.738217259	0.742468806
399	0.7382515272	0.7421304495
400	0.7384193759	0.7419714071
401	0.7389555864	0.7416551502
402	0.7392056522	0.7410849975
403	0.7390265975	0.7405436705
404	0.7396543404	0.7400967703
405	0.7407509744	0.7395519114
406	0.7414090683	0.7392099424
407	0.7411651337	0.7389030303
408	0.7422189446	0.738556016
409	0.7424078043	0.7382205191
410	0.7425608979	0.7377208411
411	0.7427933316	0.7374821917
412	0.7429422651	0.7369716262
413	0.743841635	0.7364228327
414	0.7444216602	0.7360819788
415	0.7452366194	0.7356998785
416	0.7454659549	0.7349473228
417	0.7452703028	0.7345978422
418	0.7457984229	0.7342542897
419	0.7457492588	0.7337418146
420	0.7452407988	0.733221046
421	0.7459306252	0.7328747258
422	0.7462529823	0.7324820791
423	0.7467804617	0.731959903
424	0.747108374	0.7314504077
425	0.7468847376	0.7310626831
426	0.7480516956	0.7303777186
427	0.7479074083	0.7300636771
428	0.7480096032	0.729686027
429	0.7488099091	0.7290911559
430	0.7487677304	0.728710653
431	0.7484809113	0.7280437629
432	0.7479544864	0.727677934
433	0.7495351566	0.7271915493
434	0.7506058777	0.7266749323
435	0.7512596331	0.726184115
436	0.7521188066	0.7256282702
437	0.7519880923	0.7251110391
438	0.7536650629	0.7246914883
439	0.7552398835	0.7242186349
440	0.7553421109	0.7237720729
441	0.7558922636	0.7234735759
442	0.756000754	0.7230119227
443	0.7562470274	0.722716633
444	0.7566944513	0.7223994152
445	0.7572291474	0.7217299162
446	0.7565200131	0.7213933292
447	0.7570787591	0.7210177474
448	0.7570938494	0.7206342047
449	0.7581049256	0.7199661661
450	0.7583272468	0.719629623
451	0.7585441291	0.7191492969
452	0.7587749789	0.7187389476
453	0.7583080303	0.718388969
454	0.7587114428	0.7180382185
455	0.7585064066	0.7174605326
456	0.7595513717	0.716918266
457	0.7593976618	0.7163719008
458	0.7608912406	0.7157804457
459	0.7617888577	0.7153758227
460	0.7619150298	0.7149846191
461	0.761399046	0.7146846047
462	0.7620968405	0.7142313392
463	0.7627529476	0.7139417929
464	0.7621381733	0.7135543618
465	0.7625683121	0.7127896553
466	0.7631854535	0.7122442911
467	0.7633016055	0.711706544
468	0.7653442139	0.7111879274
469	0.7660950535	0.7107794647
470	0.7661443762	0.710228616
471	0.7664984174	0.7098859462
472	0.7669834734	0.7092297759
473	0.7682366447	0.7086354516
474	0.7693071267	0.7082800233
475	0.7690001623	0.7075886048
476	0.7705949253	0.7071349864
477	0.7697900276	0.7066976377
478	0.769413031	0.7064169219
479	0.7705167336	0.7059630286
480	0.7703159985	0.7057044827
481	0.7701152869	0.7052948478
482	0.7696385072	0.7048055615
483	0.7694768995	0.7045698061
484	0.7710823259	0.7039851373
485	0.7715884869	0.7034969569
486	0.7716870893	0.7029542638
487	0.7721254448	0.7027461062
488	0.7721828515	0.7023071829
489	0.7717842819	0.7017863516
490	0.7720400611	0.7013737514
491	0.771720664	0.7004304264
492	0.7719125968	0.7000507973
493	0.7724947688	0.6995002896
494	0.7729308	0.6990227721
495	0.7733671146	0.6985616242
496	0.7728786085	0.698319221
497	0.7737868988	0.6979003351
498	0.7743215159	0.6977718133
499	0.7742018486	0.6975247453
500	0.7742031236	0.697117619
501	0.7747494239	0.6967926705
502	0.7752269804	0.6961935698
503	0.7752904067	0.695965889
504	0.7764890065	0.6954562401
505	0.7769037345	0.6950484255
506	0.7770824239	0.6946572351
507	0.7764978387	0.6943898396
508	0.7765155358	0.6938916864
509	0.7771593598	0.6935968062
510	0.7773332099	0.6929112658
511	0.7780466138	0.6924275399
512	0.777460589	0.6921753039
513	0.778821633	0.6917844487
514	0.7782654307	0.6913157776
515	0.778226985	0.6908239802
516	0.7781824622	0.6904041879
517	0.7791970232	0.6900777667
518	0.7797381392	0.6895591
519	0.7798553574	0.6886777342
520	0.7797423942	0.688295621
521	0.7801861486	0.6878769398
522	0.781469986	0.6875158969
523	0.7811543731	0.6871565759
524	0.7821422354	0.686730189
525	0.7826130324	0.6860565787
526	0.7839855832	0.6855978503
527	0.7833141465	0.6852602015
528	0.7843093768	0.6848225128
529	0.7849643496	0.6842048287
530	0.7855088888	0.6839116832
531	0.7862516004	0.683462275
532	0.7863507359	0.6829108192
533	0.785645957	0.682566742
534	0.7864627035	0.6820639481
535	0.786439317	0.6817948824
536	0.7866921744	0.6814543998
537	0.7872200802	0.6811383829
538	0.7867673404	0.6809134299
539	0.7869733556	0.6805725228
540	0.788207835	0.6801453711
541	0.7882775353	0.6796815581
542	0.7883727968	0.6790928868
543	0.7897913182	0.6785024299
544	0.7905219935	0.6780385134
545	0.7903099001	0.6776651021
546	0.7911399702	0.6771404721
547	0.7911515432	0.676940629
548	0.7916478176	0.6765309574
549	0.7918528669	0.6760713382
550	0.7920304809	0.6757245416
551	0.7926997386	0.6754183351
552	0.7924967163	0.6748827488
553	0.7925560738	0.6745428386
554	0.7928952945	0.6741843981
555	0.7928660233	0.6738362583
556	0.7935872302	0.673271464
557	0.7932027631	0.6728101556
558	0.794108118	0.6724935695
559	0.7941672622	0.6720235476
560	0.7945854429	0.671395626
561	0.7949938155	0.6708318267
562	0.7958001499	0.6705428176
563	0.7956217214	0.6700284792
564	0.7948832141	0.6696296532
565	0.7953609255	0.6692929095
566	0.7951959079	0.6690179766
567	0.7953910876	0.6686795967
568	0.7953188629	0.668373342
569	0.7961111135	0.6680194324
570	0.7954437093	0.6674775992
571	0.7970037209	0.6670428099
572	0.7969194331	0.6668446823
573	0.797209895	0.6664379212
574	0.7970834769	0.6660138137
575	0.7975978049	0.6657174905
576	0.7992085652	0.665070028
577	0.7990130712	0.6647951355
578	0.7992843128	0.6642324738
579	0.7990721336	0.6638660878
580	0.7980849844	0.6634154326
581	0.7994584421	0.6628758532
582	0.8000141333	0.6625744892
583	0.7995756522	0.6621732946
584	0.7992325201	0.6619238049
585	0.8003967496	0.6614512784
586	0.8006318657	0.6611045028
587	0.8005906507	0.6608043534
588	0.8016021767	0.6601982593
589	0.8011586142	0.6597749688
590	0.8022716985	0.6591108872
591	0.8025597023	0.6586587836
592	0.8020789492	0.658316289
593	0.8021676294	0.6580616746
594	0.8022081032	0.65775413
595	0.8024202801	0.6575492448
596	0.803245221	0.6570586862
597	0.8037932581	0.6568145262
598	0.803777402	0.6563781376
599	0.8034203865	0.6560472212
600	0.8048467807	0.6555744155
601	0.8050669864	0.6551075684
602	0.8057055283	0.6547659284
603	0.8055563695	0.6543825201
604	0.8058579917	0.6537388886
605	0.8063776784	0.6534206155
606	0.8066510434	0.6530593965
607	0.8071067229	0.6527636486
608	0.8075199978	0.6522684422
609	0.8077530545	0.6519497178
610	0.8077224515	0.6516467081
611	0.8088542864	0.6512112163
612	0.8090775017	0.6507785728
613	0.8092601896	0.6504080706
614	0.8091542883	0.6501350973
615	0.8090360675	0.649919641
616	0.8095814701	0.6494727248
617	0.8098314823	0.648912816
618	0.8098013681	0.6485535806
619	0.8103450466	0.6482396668
620	0.8101894129	0.6480483975
621	0.8102126426	0.6476221822
622	0.8100878549	0.6473594113
623	0.8104828248	0.6470298157
624	0.8102815457	0.6466337326
625	0.8101338341	0.6461704095
626	0.8100345183	0.6458565774
627	0.8106596442	0.6453441845
628	0.810499886	0.6450389456
629	0.8107585217	0.6446556488
630	0.810883192	0.6443290016
631	0.812262682	0.6440230873
632	0.8122508194	0.6438203276
633	0.8122606094	0.6434325617
634	0.8125755019	0.6429220911
635	0.8130296724	0.6427054742
636	0.8135611955	0.6423909817
637	0.8136162527	0.641909403
638	0.8130715863	0.6415959147
639	0.8133876819	0.6412121928
640	0.813340115	0.6408870578
641	0.8138882582	0.6406180129
642	0.8139517994	0.640129799
643	0.8149190325	0.6395916003
644	0.8148098676	0.6393111065
645	0.8154089827	0.6389849724
646	0.8159876382	0.6384900369
647	0.816115624	0.6381840054
648	0.8168459975	0.6378541864
649	0.8173455845	0.6374452559
650	0.8178669759	0.6371984022
651	0.8176639362	0.6368246719
652	0.8180247465	0.6363427661
653	0.8179422842	0.635830682
654	0.8184511866	0.635539695
655	0.819041327	0.6351337233
656	0.8192797104	0.6349081339
657	0.8193662274	0.6344755182
658	0.8200499938	0.6341019161
659	0.8207028054	0.6337258006
660	0.8210589251	0.6335298619
661	0.8217578032	0.6331792829
662	0.8215664164	0.6328784369
663	0.8219722592	0.6326274093
664	0.8228845562	0.6321441286
665	0.8231204128	0.631830523
666	0.8243323497	0.6313718528
667	0.8242506589	0.6310998701
668	0.8241135335	0.6306671915
669	0.8245265018	0.6303201927
670	0.825611777	0.6297772496
671	0.8257952918	0.6294121736
672	0.8260567902	0.6290484067
673	0.8269318936	0.6285935176
674	0.8270773342	0.6281092859
675	0.8269259806	0.6277923187
676	0.8272464485	0.6273296039
677	0.8275630788	0.6270544859
678	0.8284867219	0.6266116172
679	0.8281930004	0.6261017036
680	0.8280855235	0.6257607973
681	0.82898629	0.625306759
682	0.8288030148	0.6250324086
683	0.82944698	0.6246351395
684	0.8296216534	0.6242758986
685	0.8294222617	0.6237917462
686	0.8297684294	0.6236214155
687	0.831210219	0.6234033537
688	0.8306730338	0.6231132135
689	0.8317866631	0.6228720262
690	0.8317984964	0.6227687525
691	0.831914734	0.6224400814
692	0.8316769105	0.6218609655
693	0.8322894072	0.6215497138
694	0.8326831628	0.6210555407
695	0.8327389454	0.6208186853
696	0.8327978392	0.6205935014
697	0.8329775448	0.6203311382
698	0.8328136132	0.620124189
699	0.8332671042	0.6198007407
700	0.833474305	0.6196389451
701	0.8336040945	0.6194058138
702	0.8336039872	0.618938223
703	0.8350680385	0.6186006568
704	0.8343630882	0.618334973
705	0.8344857777	0.6181368989
706	0.8342080526	0.6177730901
707	0.8346142093	0.6176228615
708	0.8356561712	0.6173354055
709	0.8358199612	0.6169874108
710	0.8354736518	0.6166131069
711	0.8361304376	0.6161731077
712	0.8363133578	0.6159200152
713	0.8373852215	0.6156609674
714	0.8379973319	0.6154266572
715	0.8383363003	0.6150260504
716	0.838466427	0.6147559393
717	0.8375894749	0.614328108
718	0.8373952395	0.6137966382
719	0.8382893429	0.613412546
720	0.8390376862	0.6131216279
721	0.8396399359	0.6127372209
722	0.8393062863	0.6122918532
723	0.8395022107	0.6118460102
724	0.8398258954	0.6113126909
725	0.8393719779	0.6108947219
726	0.8393886777	0.610491918
727	0.8404067077	0.61014592
728	0.840712919	0.6098781829
729	0.8415486429	0.6096184824
730	0.842040931	0.609306532
731	0.8416215769	0.6089373984
732	0.8414350412	0.608483431
733	0.8414749945	0.6081012223
734	0.8419035566	0.6076374911
735	0.8412551129	0.6073388755
736	0.8420248714	0.6070377949
737	0.8416066668	0.606822963
738	0.8421198293	0.6063284019
739	0.8419888235	0.6059287
740	0.8424373833	0.6055941791
741	0.8434376334	0.6052342866
742	0.8439120766	0.6048778479
743	0.8440420447	0.6044257489
744	0.8449418303	0.6041017681
745	0.8449460952	0.6039040595
746	0.8454537208	0.6034814928
747	0.8448709851	0.6032792614
748	0.8451684918	0.6029497334
749	0.845133409	0.6027171111
750	0.8454588394	0.6023793066
751	0.8456265008	0.6020413154
752	0.8451764652	0.6016612361
753	0.8452161685	0.6014800146
754	0.8455863479	0.6012615079
755	0.8456685266	0.6007934984
756	0.8464684767	0.6003922143
757	0.845449257	0.6000582289
758	0.8459705913	0.5996876312
759	0.846354669	0.5993239857
760	0.8466284993	0.5991340968
761	0.8465173577	0.5988688915
762	0.846449738	0.5983700086
763	0.8472871284	0.5979427739
764	0.8476972677	0.5974713379
765	0.8477293059	0.5971076204
766	0.8483459182	0.5968211818
767	0.8483698365	0.5965423769
768	0.8483500427	0.5962634627
769	0.8486688979	0.595983187
770	0.8488109951	0.5956274701
771	0.8487350384	0.5953146307
772	0.8488932356	0.5949089346
773	0.849290689	0.5946582947
774	0.8501410126	0.5943308238
775	0.8497634177	0.5941663545
776	0.849612841	0.5939620718
777	0.8497839962	0.5937029802
778	0.8492354124	0.5933226792
779	0.8496780636	0.593033463
780	0.8504295108	0.5927011531
781	0.8503270109	0.5924906247
782	0.8495396455	0.5923070501
783	0.8501722867	0.5919888178
784	0.8505541994	0.5917157451
785	0.8503550892	0.5913301284
786	0.8512802165	0.591116931
787	0.8513169124	0.5907174365
788	0.8521347827	0.5903443631
789	0.852412394	0.5901664852
790	0.8519741087	0.5898769537
791	0.8527495448	0.589430545
792	0.8525710262	0.5891720793
793	0.8528620443	0.5889015755
794	0.8530915749	0.5885733962
795	0.8537800796	0.5881057856
796	0.8539802726	0.5877559519
797	0.854218065	0.5874983442
798	0.8545623453	0.5871558668
799	0.8552748639	0.5866734702
800	0.8552547775	0.586338609
801	0.8552622555	0.5860438062
802	0.8554018241	0.5858250344
803	0.8554852661	0.5854749286
804	0.8555290422	0.5852099001
805	0.8556123964	0.5849239236
806	0.8553950478	0.5848352611
807	0.855179868	0.584505937
808	0.8551935685	0.5842214425
809	0.855075907	0.583951393
810	0.8556424366	0.5835310485
811	0.8555964253	0.5831657582
812	0.8557437199	0.5829875035
813	0.8557322458	0.5827452452
814	0.8563543783	0.5824255376
815	0.856653157	0.582103526
816	0.8562592846	0.5817723026
817	0.8563868947	0.5812924175
818	0.8562360071	0.5810975407
819	0.8562754493	0.5808378548
820	0.8572047685	0.5805526194
821	0.8577502218	0.580176075
822	0.8579725397	0.579927776
823	0.8584418349	0.5796437341
824	0.8591132165	0.5793821151
825	0.8587351921	0.5791094381
826	0.8588825864	0.5787555998
827	0.8591239154	0.5784744928
828	0.8588474525	0.5782478999
829	0.8596053175	0.5780111537
830	0.8593748991	0.5778175862
831	0.8597397665	0.5774395106
832	0.8594195432	0.5771130134
833	0.8596241704	0.576864117
834	0.859829631	0.5765520487
835	0.8602360397	0.5762308857
836	0.8606046486	0.5758311485
837	0.8604908728	0.5755509372
838	0.8604469694	0.5753338109
839	0.8609639842	0.5749720109
840	0.8614258213	0.5745913613
841	0.86140328	0.5742259018
842	0.8617607987	0.5739646209
843	0.8611467782	0.573649395
844	0.8610285289	0.5732770047
845	0.8617083196	0.5728664029
846	0.862434086	0.5725427214
847	0.8630067104	0.5721776404
848	0.8633777637	0.571685227
849	0.8631818036	0.5714201514
850	0.8635944155	0.5709484019
851	0.863677753	0.5707057588
852	0.8638210058	0.5704733996
853	0.8639726459	0.5701880741
854	0.8640321572	0.569969608
855	0.8645916393	0.569682518
856	0.8645274455	0.5694534836
857	0.8641578142	0.5692720081
858	0.8642324804	0.5688165653
859	0.864308401	0.568535276
860	0.8643562311	0.5682058161
861	0.864931271	0.5678337756
862	0.8650025227	0.567602371
863	0.8653397325	0.567353064
864	0.865713226	0.5670279323
865	0.865158073	0.5667369475
866	0.8654002259	0.5665656131
867	0.8657578515	0.5663752057
868	0.8655990251	0.5660469919
869	0.8655001084	0.5657652939
870	0.8656720482	0.5655439484
871	0.8655495611	0.5653564663
872	0.8656509157	0.5649865737
873	0.8660409774	0.5647513748
874	0.8662396488	0.564464847
875	0.8670492078	0.563935224
876	0.8673702982	0.5637674925
877	0.8677878572	0.5635360596
878	0.8683553138	0.563279598
879	0.8678465992	0.5631640804
880	0.8683161097	0.5628278134
881	0.8687096424	0.5625841511
882	0.8685467867	0.5623905454
883	0.8683916669	0.5622546138
884	0.8685149764	0.5620688349
885	0.8687966107	0.5617581502
886	0.8688405474	0.5616428263
