symbol,entry_timeframe,alignment,window_minutes,events,mean_mfe_bps,median_mfe_bps,q25_mfe_bps,q75_mfe_bps,q90_mfe_bps,mean_mae_bps,median_mae_bps,q10_mae_bps,mean_terminal_return_bps,median_terminal_return_bps,terminal_win_rate,mean_time_to_mfe_minutes,median_time_to_mfe_minutes,mean_mfe_mae_ratio,target_10bps_hit_rate,target_10bps_median_hit_minutes,target_25bps_hit_rate,target_25bps_median_hit_minutes,target_50bps_hit_rate,target_50bps_median_hit_minutes,target_75bps_hit_rate,target_75bps_median_hit_minutes,target_100bps_hit_rate,target_100bps_median_hit_minutes,target_150bps_hit_rate,target_150bps_median_hit_minutes,target_200bps_hit_rate,target_200bps_median_hit_minutes,t25_s25_target_first_rate,t25_s25_stop_first_rate,t25_s25_resolved_target_win_rate,t50_s25_target_first_rate,t50_s25_stop_first_rate,t50_s25_resolved_target_win_rate,t50_s50_target_first_rate,t50_s50_stop_first_rate,t50_s50_resolved_target_win_rate,t100_s50_target_first_rate,t100_s50_stop_first_rate,t100_s50_resolved_target_win_rate,t100_s100_target_first_rate,t100_s100_stop_first_rate,t100_s100_resolved_target_win_rate,ranking_metric,ranking_value
ALL,1m,FULL_ALIGNMENT,240,2799,134.37512744225495,78.56559449263001,32.391429723216405,161.86456921830404,313.13359516455506,-102.42327020891715,-72.97931262529201,-233.71194956257477,5.214941065203705,-8.251603954106956,0.46266523758485173,101.61343336906037,88.0,36.54080220742439,0.9146123615576992,5.0,0.8002858163629868,18.0,0.6463022508038585,40.0,0.5173276170060735,59.0,0.4137191854233655,68.0,0.2736691675598428,82.0,0.19506966773847803,94.5,0.5173276170060735,0.4715969989281886,0.523121387283237,0.34798142193640585,0.6230796713111826,0.35835172921265634,0.49874955341193283,0.42908181493390496,0.5375433192144783,0.29403358342265096,0.5476956055734191,0.349320882852292,0.36441586280814575,0.30439442658092175,0.5448717948717948,mean_mfe_bps,134.37512744225495
ALL,1h,FULL_ALIGNMENT,240,158,125.57595159222598,67.94801580400801,31.191683653090664,158.0834857179769,343.532463503867,-93.06619275772725,-60.69409872895226,-193.60791183603044,21.934956765304285,2.5529632458243245,0.5253164556962026,111.37341772151899,102.5,6.90972451375067,0.9177215189873418,6.0,0.8291139240506329,16.0,0.6075949367088608,40.0,0.4873417721518987,46.0,0.36075949367088606,62.0,0.25949367088607594,77.0,0.18354430379746836,92.0,0.5253164556962026,0.45569620253164556,0.535483870967742,0.2974683544303797,0.6455696202531646,0.31543624161073824,0.43670886075949367,0.44936708860759494,0.4928571428571429,0.25316455696202533,0.5506329113924051,0.31496062992125984,0.34177215189873417,0.2848101265822785,0.5454545454545454,mean_mfe_bps,125.57595159222598
ALL,1m,DAILY_4H_1H_15M,240,4826,124.69501950047164,72.70058957558834,29.548180125666402,154.99671024648995,295.0034132642143,-100.9904065941003,-70.85187244867231,-231.36911066953925,1.3052015457135635,-8.698826974588014,0.4579361790302528,103.11956071280564,90.5,36.592072596247846,0.9077911313717364,6.0,0.7836717778698715,20.0,0.6079569001243266,43.0,0.4875673435557397,63.0,0.38955656858682136,76.5,0.260049730625777,95.0,0.1825528387898881,109.0,0.5105677579776212,0.4749274761707418,0.5180824222035324,0.3338168255283879,0.6319933692498964,0.34563398412357865,0.4709904682967261,0.4378367177786987,0.5182398540811674,0.27414007459593864,0.547244094488189,0.3337537840565086,0.3458350600911728,0.3050145047658516,0.5313594396688952,mean_mfe_bps,124.69501950047164
ALL,1h,DAILY_4H_1H_15M,240,162,124.15235295680516,68.17926210274993,31.191683653090664,148.14005050102108,342.42273485603187,-92.27194247517245,-60.20755300677139,-194.74161146161006,21.142216594567746,2.5529632458243245,0.5246913580246914,111.41975308641975,105.0,6.854359377345699,0.9197530864197531,6.0,0.8333333333333334,16.0,0.6111111111111112,43.0,0.4876543209876543,48.0,0.35185185185185186,62.0,0.25308641975308643,77.0,0.17901234567901234,92.0,0.5308641975308642,0.4506172839506173,0.5408805031446541,0.30246913580246915,0.6419753086419753,0.3202614379084967,0.4382716049382716,0.4444444444444444,0.4965034965034965,0.24691358024691357,0.5432098765432098,0.3125,0.3333333333333333,0.2839506172839506,0.54,mean_mfe_bps,124.15235295680516
ALL,5m,FULL_ALIGNMENT,240,766,123.62773412645163,70.95626710096225,29.676110098915686,160.2349705542949,294.3516269229862,-104.69717836658008,-70.96205436801063,-231.49932963422714,-2.6409704927841284,-11.101255604106797,0.4516971279373368,98.7597911227154,77.0,7.200110629710931,0.9073107049608355,5.0,0.7845953002610966,17.0,0.6331592689295039,40.0,0.48825065274151436,62.0,0.3785900783289817,75.5,0.26370757180156656,89.5,0.1906005221932115,97.5,0.4934725848563969,0.489556135770235,0.50199203187251,0.34986945169712796,0.6279373368146214,0.35781041388518026,0.4908616187989556,0.43342036553524804,0.5310734463276836,0.26240208877284593,0.5600522193211488,0.319047619047619,0.3433420365535248,0.30809399477806787,0.5270541082164328,mean_mfe_bps,123.62773412645163
ALL,5m,DAILY_4H_1H_15M,240,766,123.62773412645163,70.95626710096225,29.676110098915686,160.2349705542949,294.3516269229862,-104.69717836658008,-70.96205436801063,-231.49932963422714,-2.6409704927841284,-11.101255604106797,0.4516971279373368,98.7597911227154,77.0,7.200110629710931,0.9073107049608355,5.0,0.7845953002610966,17.0,0.6331592689295039,40.0,0.48825065274151436,62.0,0.3785900783289817,75.5,0.26370757180156656,89.5,0.1906005221932115,97.5,0.4934725848563969,0.489556135770235,0.50199203187251,0.34986945169712796,0.6279373368146214,0.35781041388518026,0.4908616187989556,0.43342036553524804,0.5310734463276836,0.26240208877284593,0.5600522193211488,0.319047619047619,0.3433420365535248,0.30809399477806787,0.5270541082164328,mean_mfe_bps,123.62773412645163
ALL,1h,DAILY_4H_1H,240,168,122.39006122251885,68.17926210274993,30.40571596263586,143.20502228861608,338.4140691575549,-95.40898680432576,-60.69409872895226,-196.82603320400895,16.497276179527535,2.1661127132388547,0.5178571428571429,110.69047619047619,105.0,6.919765516294397,0.9166666666666666,6.0,0.8273809523809523,16.0,0.6071428571428571,42.0,0.4880952380952381,47.0,0.35714285714285715,55.5,0.25,84.0,0.17261904761904762,92.0,0.5238095238095238,0.4583333333333333,0.5333333333333333,0.30357142857142855,0.6428571428571429,0.32075471698113206,0.43452380952380953,0.4523809523809524,0.4899328859060403,0.25,0.5476190476190477,0.31343283582089554,0.3392857142857143,0.2916666666666667,0.5377358490566038,mean_mfe_bps,122.39006122251885
ALL,15m,FULL_ALIGNMENT,240,422,122.15845211943733,78.4745568096179,30.64996422125099,168.67286135177127,284.1837719663894,-98.88082263959384,-72.80120380209308,-212.09254695509307,8.738493977592668,-3.2892363350273124,0.47393364928909953,109.84834123222748,107.0,8.66795538784563,0.9052132701421801,4.0,0.7890995260663507,11.0,0.6516587677725119,33.0,0.509478672985782,53.0,0.4075829383886256,78.0,0.2843601895734597,102.0,0.1943127962085308,120.5,0.5213270142180095,0.45734597156398105,0.5326876513317191,0.36729857819905215,0.5995260663507109,0.3799019607843137,0.5071090047393365,0.41232227488151657,0.5515463917525774,0.2938388625592417,0.5521327014218009,0.3473389355742297,0.35545023696682465,0.3175355450236967,0.528169014084507,mean_mfe_bps,122.15845211943733
ALL,15m,DAILY_4H_1H,240,446,120.82898572088331,78.4745568096179,31.031246683412284,165.2868988915568,280.16141536125974,-99.21716652896852,-72.1554206054198,-215.0819226537787,7.0034310803644635,-2.607728249284791,0.4798206278026906,110.45739910313901,107.5,8.578186780773699,0.9035874439461884,4.0,0.7914798206278026,11.0,0.6502242152466368,34.5,0.5089686098654709,56.0,0.4125560538116592,84.5,0.2802690582959641,102.0,0.18834080717488788,122.0,0.531390134529148,0.4484304932735426,0.5423340961098398,0.3744394618834081,0.5896860986547086,0.3883720930232558,0.5112107623318386,0.40582959641255606,0.5574572127139364,0.30269058295964124,0.5448430493273543,0.35714285714285715,0.3632286995515695,0.31614349775784756,0.5346534653465347,mean_mfe_bps,120.82898572088331
ALL,15m,DAILY_4H_1H_15M,240,446,120.82898572088331,78.4745568096179,31.031246683412284,165.2868988915568,280.16141536125974,-99.21716652896852,-72.1554206054198,-215.0819226537787,7.0034310803644635,-2.607728249284791,0.4798206278026906,110.45739910313901,107.5,8.578186780773699,0.9035874439461884,4.0,0.7914798206278026,11.0,0.6502242152466368,34.5,0.5089686098654709,56.0,0.4125560538116592,84.5,0.2802690582959641,102.0,0.18834080717488788,122.0,0.531390134529148,0.4484304932735426,0.5423340961098398,0.3744394618834081,0.5896860986547086,0.3883720930232558,0.5112107623318386,0.40582959641255606,0.5574572127139364,0.30269058295964124,0.5448430493273543,0.35714285714285715,0.3632286995515695,0.31614349775784756,0.5346534653465347,mean_mfe_bps,120.82898572088331
