symbol,entry_timeframe,alignment,window_minutes,events,mean_mfe_bps,median_mfe_bps,q25_mfe_bps,q75_mfe_bps,q90_mfe_bps,mean_mae_bps,median_mae_bps,q10_mae_bps,mean_terminal_return_bps,median_terminal_return_bps,terminal_win_rate,mean_time_to_mfe_minutes,median_time_to_mfe_minutes,mean_mfe_mae_ratio,target_10bps_hit_rate,target_10bps_median_hit_minutes,target_25bps_hit_rate,target_25bps_median_hit_minutes,target_50bps_hit_rate,target_50bps_median_hit_minutes,target_75bps_hit_rate,target_75bps_median_hit_minutes,target_100bps_hit_rate,target_100bps_median_hit_minutes,target_150bps_hit_rate,target_150bps_median_hit_minutes,target_200bps_hit_rate,target_200bps_median_hit_minutes,t25_s25_target_first_rate,t25_s25_stop_first_rate,t25_s25_resolved_target_win_rate,t50_s25_target_first_rate,t50_s25_stop_first_rate,t50_s25_resolved_target_win_rate,t50_s50_target_first_rate,t50_s50_stop_first_rate,t50_s50_resolved_target_win_rate,t100_s50_target_first_rate,t100_s50_stop_first_rate,t100_s50_resolved_target_win_rate,t100_s100_target_first_rate,t100_s100_stop_first_rate,t100_s100_resolved_target_win_rate
ALL,15m,DAILY_4H,15,904,26.604182266717583,14.372713646898516,5.91827027619285,35.902920550825996,62.1377096590965,-22.770348621668255,-15.269214756822858,-51.27902756555091,1.576925064889697,-1.2755700103234124,0.4723451327433628,6.728982300884955,6.0,20.63260459649161,0.6117256637168141,3.0,0.34845132743362833,5.0,0.15597345132743362,7.0,0.07079646017699115,7.5,0.03650442477876106,6.0,0.014380530973451327,8.0,0.00663716814159292,7.0,0.2975663716814159,0.2577433628318584,0.5358565737051793,0.12942477876106195,0.28982300884955753,0.3087071240105541,0.1504424778761062,0.09955752212389381,0.6017699115044248,0.034292035398230086,0.10619469026548672,0.2440944881889764,0.03650442477876106,0.016592920353982302,0.6875
ALL,15m,DAILY_4H_1H,15,446,31.539725378458353,19.39497925376843,7.169968046055741,40.96203386276143,72.71782701493201,-25.225322351502975,-15.634933935142481,-57.98297333662661,1.9806333976083057,-0.9820203719224097,0.4820627802690583,6.948430493273543,6.0,19.310836743687698,0.6591928251121076,2.0,0.4327354260089686,5.0,0.18834080717488788,7.5,0.09417040358744394,8.0,0.04484304932735426,7.0,0.020179372197309416,7.0,0.011210762331838564,7.0,0.3542600896860987,0.2645739910313901,0.572463768115942,0.14798206278026907,0.31614349775784756,0.3188405797101449,0.17713004484304934,0.11883408071748879,0.5984848484848485,0.04035874439461883,0.13228699551569506,0.23376623376623376,0.04484304932735426,0.026905829596412557,0.625
ALL,15m,DAILY_4H_1H_15M,15,446,31.539725378458353,19.39497925376843,7.169968046055741,40.96203386276143,72.71782701493201,-25.225322351502975,-15.634933935142481,-57.98297333662661,1.9806333976083057,-0.9820203719224097,0.4820627802690583,6.948430493273543,6.0,19.310836743687698,0.6591928251121076,2.0,0.4327354260089686,5.0,0.18834080717488788,7.5,0.09417040358744394,8.0,0.04484304932735426,7.0,0.020179372197309416,7.0,0.011210762331838564,7.0,0.3542600896860987,0.2645739910313901,0.572463768115942,0.14798206278026907,0.31614349775784756,0.3188405797101449,0.17713004484304934,0.11883408071748879,0.5984848484848485,0.04035874439461883,0.13228699551569506,0.23376623376623376,0.04484304932735426,0.026905829596412557,0.625
ALL,15m,DAILY_ONLY,15,1633,24.83489962672962,14.21464108031234,5.898860317279375,34.0914873047371,59.72538534989846,-22.093979294798075,-14.635931211122166,-49.67857707192968,0.2714774658834998,-2.1732197600987657,0.46356399265156156,6.594611145131659,5.0,24.980724658042067,0.6111451316595223,3.0,0.32823025107164727,5.0,0.1359461114513166,7.0,0.062461726883037354,8.0,0.03184323331292101,9.0,0.008573178199632579,7.5,0.003674219228413962,7.0,0.290263319044703,0.24862216778934476,0.5386363636363637,0.11696264543784446,0.28413962033067974,0.2916030534351145,0.13288426209430496,0.08818126148193509,0.6011080332409973,0.03061849357011635,0.09430496019595835,0.24509803921568626,0.03184323331292101,0.015921616656460504,0.6666666666666666
ALL,15m,FULL_ALIGNMENT,15,422,31.648658919803456,18.862996682954545,7.100528809401152,40.96203386276143,73.3883742779416,-25.60350501738328,-16.699849442953774,-58.15261126483606,1.8483857102974453,-1.2277412684424949,0.47393364928909953,6.931279620853081,6.0,19.17151589944404,0.6563981042654028,2.0,0.42890995260663506,5.0,0.1895734597156398,7.5,0.0947867298578199,8.0,0.04739336492890995,7.0,0.02132701421800948,7.0,0.011848341232227487,7.0,0.35071090047393366,0.2677725118483412,0.5670498084291188,0.14928909952606634,0.3175355450236967,0.3197969543147208,0.17772511848341233,0.12085308056872038,0.5952380952380952,0.04265402843601896,0.13507109004739337,0.24,0.04739336492890995,0.02843601895734597,0.625
ALL,15m,DAILY_4H,30,904,37.97468096889115,21.520313164540283,9.041534806308317,47.935693368275636,90.7698572711635,-32.207843396082154,-21.093840840519796,-77.2416349005881,1.4734907832661577,-2.217518621963066,0.47013274336283184,13.525442477876107,13.0,19.427540014865855,0.7234513274336283,4.0,0.4690265486725664,7.0,0.24004424778761063,10.0,0.13938053097345132,15.0,0.08075221238938053,16.0,0.03761061946902655,19.0,0.016592920353982302,17.0,0.37831858407079644,0.34845132743362833,0.5205479452054794,0.18141592920353983,0.3993362831858407,0.31238095238095237,0.2245575221238938,0.1570796460176991,0.5884057971014492,0.07632743362831858,0.18030973451327434,0.2974137931034483,0.08075221238938053,0.048672566371681415,0.6239316239316239
ALL,15m,DAILY_4H_1H,30,446,43.748573474003265,28.681056001009786,10.300698538256437,56.916739331108744,95.64921272087523,-37.24832695902471,-22.163197756477903,-93.51101506852422,0.39994936256384706,-1.4357661164809965,0.4798206278026906,13.522421524663677,12.0,11.966491149375965,0.757847533632287,3.0,0.547085201793722,7.0,0.29596412556053814,11.5,0.18161434977578475,15.0,0.09417040358744394,17.0,0.04484304932735426,17.5,0.020179372197309416,11.0,0.4349775784753363,0.33856502242152464,0.5623188405797102,0.21973094170403587,0.4103139013452915,0.3487544483985765,0.2757847533632287,0.1905829596412556,0.5913461538461539,0.08520179372197309,0.23094170403587444,0.2695035460992908,0.09417040358744394,0.07399103139013453,0.56
ALL,15m,DAILY_4H_1H_15M,30,446,43.748573474003265,28.681056001009786,10.300698538256437,56.916739331108744,95.64921272087523,-37.24832695902471,-22.163197756477903,-93.51101506852422,0.39994936256384706,-1.4357661164809965,0.4798206278026906,13.522421524663677,12.0,11.966491149375965,0.757847533632287,3.0,0.547085201793722,7.0,0.29596412556053814,11.5,0.18161434977578475,15.0,0.09417040358744394,17.0,0.04484304932735426,17.5,0.020179372197309416,11.0,0.4349775784753363,0.33856502242152464,0.5623188405797102,0.21973094170403587,0.4103139013452915,0.3487544483985765,0.2757847533632287,0.1905829596412556,0.5913461538461539,0.08520179372197309,0.23094170403587444,0.2695035460992908,0.09417040358744394,0.07399103139013453,0.56
ALL,15m,DAILY_ONLY,30,1633,35.25682254343296,20.749279538905263,8.640155201597999,45.30067702110729,82.62967412160592,-31.31054592498905,-21.246458923511735,-71.6092725264894,0.06308533389938939,-2.588605544971978,0.46540110226576853,13.275566442131048,12.0,24.96902139571263,0.7195345988977342,3.0,0.4543784445805266,8.0,0.21800367421922842,12.0,0.11818738518064911,14.0,0.065523576240049,16.0,0.030006123698714023,20.0,0.01224739742804654,21.0,0.3772198407838334,0.3404776484996938,0.5255972696245734,0.17085119412124924,0.3998775260257195,0.29935622317596566,0.2063686466625842,0.16105327617881202,0.5616666666666666,0.06307409675443969,0.17942437232088182,0.2601010101010101,0.065523576240049,0.04654011022657685,0.5846994535519126
ALL,15m,FULL_ALIGNMENT,30,422,44.18781739166564,28.169241129823995,10.300698538256437,57.4849057084692,99.0240574790343,-37.92555621816016,-22.51305624274169,-93.92078599622111,0.25834529860605315,-1.8189414085384437,0.47393364928909953,13.637440758293838,13.0,11.308010989937873,0.7582938388625592,3.0,0.5402843601895735,7.0,0.3009478672985782,12.0,0.1872037914691943,15.0,0.0995260663507109,17.0,0.04739336492890995,17.5,0.02132701421800948,11.0,0.4265402843601896,0.3412322274881517,0.5555555555555556,0.22274881516587677,0.41232227488151657,0.35074626865671643,0.2796208530805687,0.19194312796208532,0.592964824120603,0.09004739336492891,0.23459715639810427,0.2773722627737226,0.0995260663507109,0.07582938388625593,0.5675675675675675
