side,horizon_minutes,feature_group,head,symbol,folds,threshold_mean,threshold_std,threshold_min,threshold_max,threshold_range,fallback_rate,symbol_specific_rate,test_precision_mean,test_precision_std,test_coverage_mean,stable_threshold
LONG,15,position_plus_topology,exit,ALL,3,0.41666666666666674,0.011785113019775804,0.4000000000000001,0.4250000000000001,0.025000000000000022,0.0,0.0,0.40077229447910573,0.0243005540613543,0.19724787253304366,True
LONG,15,position_plus_topology,exit,BTCUSDT,3,0.3666666666666667,0.023570226039551605,0.35000000000000003,0.4000000000000001,0.050000000000000044,0.3333333333333333,1.0,0.37598537590207654,0.017958143288720693,0.20983908636293533,True
LONG,15,position_plus_topology,exit,ETHUSDT,3,0.4000000000000001,0.02041241452319317,0.37500000000000006,0.4250000000000001,0.050000000000000044,0.0,1.0,0.3940411555887158,0.09267620335533665,0.26780778627491186,True
LONG,15,position_plus_topology,exit,SOLUSDT,3,0.40833333333333344,0.031180478223116207,0.37500000000000006,0.4500000000000001,0.07500000000000007,0.6666666666666666,1.0,0.4243957335640127,0.07854923455215919,0.3323039133966169,True
LONG,15,position_plus_topology,hold,ALL,3,0.40833333333333344,0.04249182927993991,0.35000000000000003,0.4500000000000001,0.10000000000000009,0.0,0.0,0.42212848879515547,0.03178877371222131,0.09686764439616151,True
LONG,15,position_plus_topology,hold,BTCUSDT,3,0.3916666666666668,0.031180478223116207,0.35000000000000003,0.4250000000000001,0.07500000000000007,0.6666666666666666,1.0,0.34392633954890767,0.061454341225134455,0.12005788993171197,True
LONG,15,position_plus_topology,hold,ETHUSDT,3,0.4000000000000001,0.03535533905932741,0.35000000000000003,0.4250000000000001,0.07500000000000007,0.3333333333333333,1.0,0.43297358273041936,0.03223640474093185,0.1704612483325085,True
LONG,15,position_plus_topology,hold,SOLUSDT,3,0.3583333333333334,0.031180478223116207,0.325,0.4000000000000001,0.07500000000000007,0.0,1.0,0.4121968090122725,0.018246073229597957,0.38026481534989803,True
LONG,15,position_plus_topology_compact_matrix,exit,ALL,3,0.4000000000000001,0.02041241452319317,0.37500000000000006,0.4250000000000001,0.050000000000000044,0.0,0.0,0.3841955815755021,0.021471281617904778,0.24063009234111898,True
LONG,15,position_plus_topology_compact_matrix,exit,BTCUSDT,3,0.35000000000000003,0.02041241452319317,0.325,0.37500000000000006,0.050000000000000044,0.3333333333333333,1.0,0.3482947112199273,0.02770129380933251,0.19243849326602758,True
LONG,15,position_plus_topology_compact_matrix,exit,ETHUSDT,3,0.37500000000000006,0.02041241452319317,0.35000000000000003,0.4000000000000001,0.050000000000000044,0.0,1.0,0.38387456004673653,0.008950196095001322,0.2957256914739485,True
LONG,15,position_plus_topology_compact_matrix,exit,SOLUSDT,3,0.40833333333333344,0.031180478223116207,0.37500000000000006,0.4500000000000001,0.07500000000000007,0.0,1.0,0.3843529041215643,0.022750892781467635,0.3091158391279093,True
LONG,15,position_plus_topology_compact_matrix,hold,ALL,3,0.3916666666666668,0.023570226039551608,0.37500000000000006,0.4250000000000001,0.050000000000000044,0.0,0.0,0.4295190479882816,0.055575131596574165,0.1371718269056672,True
LONG,15,position_plus_topology_compact_matrix,hold,BTCUSDT,3,0.4250000000000001,0.03535533905932741,0.37500000000000006,0.4500000000000001,0.07500000000000007,0.3333333333333333,1.0,0.3088396613016276,0.07565791987264031,0.12596313891650332,True
LONG,15,position_plus_topology_compact_matrix,hold,ETHUSDT,3,0.3916666666666668,0.023570226039551608,0.37500000000000006,0.4250000000000001,0.050000000000000044,0.0,1.0,0.43202212781752053,0.045956678105047076,0.1179904289847386,True
LONG,15,position_plus_topology_compact_matrix,hold,SOLUSDT,3,0.41666666666666674,0.04714045207910321,0.35000000000000003,0.4500000000000001,0.10000000000000009,0.3333333333333333,1.0,0.43847302243528663,0.04972732462812039,0.22062222312382063,True
LONG,30,position_plus_topology,exit,ALL,3,0.4250000000000001,0.03535533905932741,0.37500000000000006,0.4500000000000001,0.07500000000000007,0.3333333333333333,0.0,0.38787033612838445,0.014592159382087634,0.23597161572052405,True
LONG,30,position_plus_topology,exit,BTCUSDT,3,0.41666666666666674,0.031180478223116207,0.37500000000000006,0.4500000000000001,0.07500000000000007,0.3333333333333333,1.0,0.3625170350662017,0.034252783139125324,0.23200698094315117,True
LONG,30,position_plus_topology,exit,ETHUSDT,3,0.40833333333333344,0.04249182927993991,0.35000000000000003,0.4500000000000001,0.10000000000000009,0.0,1.0,0.39493883906873517,0.031147092312290008,0.3508623636283211,True
LONG,30,position_plus_topology,exit,SOLUSDT,3,0.40833333333333344,0.058925565098879015,0.325,0.4500000000000001,0.1250000000000001,0.3333333333333333,1.0,0.3769105638437873,0.04003333558494364,0.338733779159311,False
LONG,30,position_plus_topology,hold,ALL,3,0.40833333333333344,0.011785113019775804,0.4000000000000001,0.4250000000000001,0.025000000000000022,0.0,0.0,0.4747566168587702,0.010810673461229917,0.1311863173216885,True
LONG,30,position_plus_topology,hold,BTCUSDT,3,0.4333333333333334,0.031180478223116207,0.4000000000000001,0.47500000000000014,0.07500000000000007,0.3333333333333333,1.0,0.4710675681450584,0.05508280607137802,0.048620857131495436,True
LONG,30,position_plus_topology,hold,ETHUSDT,3,0.40833333333333344,0.011785113019775804,0.4000000000000001,0.4250000000000001,0.025000000000000022,0.0,1.0,0.49144302400217327,0.016447212164157447,0.13123556527811844,True
