side,horizon_minutes,feature_group,head,fold,symbol,calibration_method,train_rows,calibration_rows,test_rows,raw_test_roc_auc,raw_test_pr_auc,raw_test_brier,calibrated_test_roc_auc,calibrated_test_pr_auc,calibrated_test_brier,threshold,test_alerts,test_coverage,test_precision,test_recall,test_positive_rate,precision_lift_vs_base,calibration_candidates
SHORT,15,position_plus_topology,hold,1,ALL,isotonic,45862,9085,9205,0.5428625146268029,0.3787168925332118,0.24931165220097914,0.5461722084171499,0.37591536850879725,0.2283802003057775,0.37500000000000006,4798,0.5212384573601304,0.36160900375156313,0.5543130990415336,0.3400325909831613,1.0634539551224085,"[{""method"": ""raw"", ""brier"": 0.24489105384993906, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.2318403745928849, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22970944041512242, ""selected"": true}]"
SHORT,15,position_plus_topology,hold,1,BTCUSDT,isotonic,45862,3085,3065,0.528493461633358,0.36430789341022896,0.23906700081318408,0.5340717986676535,0.3591103336440202,0.21781200959063968,0.4000000000000001,460,0.1500815660685155,0.36086956521739133,0.17202072538860103,0.31484502446982054,1.1461815724262223,"[{""method"": ""raw"", ""brier"": 0.24489105384993906, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.2318403745928849, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22970944041512242, ""selected"": true}]"
SHORT,15,position_plus_topology,hold,1,ETHUSDT,isotonic,45862,3010,3095,0.5504000561482313,0.383484835764672,0.24745391432201677,0.5558366086468277,0.38355808222088983,0.22585895650200002,0.35000000000000003,2094,0.6765751211631664,0.3667621776504298,0.7384615384615385,0.3360258481421648,1.091470134450077,"[{""method"": ""raw"", ""brier"": 0.24489105384993906, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.2318403745928849, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22970944041512242, ""selected"": true}]"
SHORT,15,position_plus_topology,hold,1,SOLUSDT,isotonic,45862,2990,3045,0.5108078703703705,0.3797205825154304,0.2615118345454719,0.5129761574074074,0.3781315411718163,0.24158044796245698,0.37500000000000006,2558,0.8400656814449918,0.364347146207975,0.8284444444444444,0.3694581280788177,0.9861662757362523,"[{""method"": ""raw"", ""brier"": 0.24489105384993906, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.2318403745928849, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22970944041512242, ""selected"": true}]"
SHORT,15,position_plus_topology_compact_matrix,exit,1,ALL,isotonic,45862,9085,9205,0.5691014402893496,0.4183776033597225,0.24725044050629208,0.5632449525285798,0.4011698425562264,0.2263143581564781,0.4500000000000001,328,0.0356328082563824,0.4725609756097561,0.047692307692307694,0.35306898424769145,1.33843808630394,"[{""method"": ""raw"", ""brier"": 0.2477801752473621, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22611378254503037, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.224425477003483, ""selected"": true}]"
SHORT,15,position_plus_topology_compact_matrix,exit,1,BTCUSDT,isotonic,45862,3085,3065,0.5736672887893493,0.3998719512996944,0.23916027310548518,0.5648015428642528,0.37257693804716513,0.21270453618995375,0.37500000000000006,836,0.27275693311582383,0.4043062200956938,0.35578947368421054,0.3099510603588907,1.3044195416771593,"[{""method"": ""raw"", ""brier"": 0.2477801752473621, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22611378254503037, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.224425477003483, ""selected"": true}]"
SHORT,15,position_plus_topology_compact_matrix,exit,1,ETHUSDT,isotonic,45862,3010,3095,0.5680469148393676,0.4160640739731473,0.24663748449774048,0.5636173566362246,0.393233576943264,0.22316047767038386,0.5000000000000002,49,0.015831987075928918,0.5918367346938775,0.027358490566037737,0.34248788368336025,1.7280515979976896,"[{""method"": ""raw"", ""brier"": 0.2477801752473621, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22611378254503037, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.224425477003483, ""selected"": true}]"
SHORT,15,position_plus_topology_compact_matrix,exit,1,SOLUSDT,isotonic,45862,2990,3045,0.5318394245375748,0.44274448485534856,0.2560167662632512,0.5280671968546152,0.4284816512032447,0.2432192397432953,0.4500000000000001,174,0.05714285714285714,0.4885057471264368,0.06854838709677419,0.4072249589490969,1.1995967741935485,"[{""method"": ""raw"", ""brier"": 0.2477801752473621, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.22611378254503037, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.224425477003483, ""selected"": true}]"
SHORT,15,position_plus_topology_compact_matrix,hold,1,ALL,isotonic,45862,9085,9205,0.5540487779224024,0.3825677036236391,0.2483918786580221,0.5534919733364888,0.37501448481699357,0.22846213492595294,0.4000000000000001,5398,0.5864204236827811,0.37273064097814007,0.642811501597444,0.3400325909831613,1.0961615176369903,"[{""method"": ""raw"", ""brier"": 0.24316728398238333, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.23138508739168892, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22923572215122762, ""selected"": true}]"
SHORT,15,position_plus_topology_compact_matrix,hold,1,BTCUSDT,isotonic,45862,3085,3065,0.5409597828768813,0.35960177374016,0.23600480900463502,0.5375025906735751,0.3434240975542806,0.2195711688258573,0.35000000000000003,1322,0.43132137030995105,0.3237518910741301,0.44352331606217615,0.31484502446982054,1.0282896851214598,"[{""method"": ""raw"", ""brier"": 0.24316728398238333, ""selected"": false}, {""method"": ""platt"", ""brier"": 0.23138508739168892, ""selected"": false}, {""method"": ""isotonic"", ""brier"": 0.22923572215122762, ""selected"": true}]"
