side,horizon_minutes,feature_group,head,fold,symbol,calibration_method,threshold,threshold_source,fallback,calibration_precision,calibration_coverage,calibration_alerts
LONG,15,position_plus_topology,hold,3,ETHUSDT,isotonic,0.35000000000000003,symbol_specific,False,0.5286738351254481,0.18569051580698837,558
LONG,15,position_plus_topology,hold,3,SOLUSDT,isotonic,0.35000000000000003,symbol_specific,False,0.4701691896705254,0.37308970099667776,1123
LONG,15,position_plus_topology_compact_matrix,exit,3,ALL,isotonic,0.4000000000000001,global,False,0.4646354733405876,0.10132304299889747,919
LONG,15,position_plus_topology_compact_matrix,exit,3,BTCUSDT,isotonic,0.325,symbol_specific,True,0.350547730829421,0.20916530278232406,639
LONG,15,position_plus_topology_compact_matrix,exit,3,ETHUSDT,isotonic,0.37500000000000006,symbol_specific,False,0.4540337711069418,0.1773710482529118,533
LONG,15,position_plus_topology_compact_matrix,exit,3,SOLUSDT,isotonic,0.37500000000000006,symbol_specific,False,0.4903339191564148,0.18903654485049834,569
LONG,15,position_plus_topology_compact_matrix,hold,3,ALL,isotonic,0.37500000000000006,global,False,0.45084745762711864,0.2276736493936053,2065
LONG,15,position_plus_topology_compact_matrix,hold,3,BTCUSDT,isotonic,0.4500000000000001,symbol_specific,True,0.36797752808988765,0.11653027823240589,356
LONG,15,position_plus_topology_compact_matrix,hold,3,ETHUSDT,isotonic,0.37500000000000006,symbol_specific,False,0.5621414913957935,0.1740432612312812,523
LONG,15,position_plus_topology_compact_matrix,hold,3,SOLUSDT,isotonic,0.4500000000000001,symbol_specific,True,0.4426229508196721,0.2837209302325581,854
LONG,30,position_plus_topology,exit,1,ALL,isotonic,0.37500000000000006,global,False,0.4683724235963042,0.7005809128630706,12663
LONG,30,position_plus_topology,exit,1,BTCUSDT,isotonic,0.37500000000000006,symbol_specific,False,0.45323741007194246,0.6229045643153527,3753
LONG,30,position_plus_topology,exit,1,ETHUSDT,isotonic,0.35000000000000003,symbol_specific,False,0.45045045045045046,0.829045643153527,4995
LONG,30,position_plus_topology,exit,1,SOLUSDT,isotonic,0.325,symbol_specific,False,0.45675902602854745,0.9883817427385893,5955
LONG,30,position_plus_topology,hold,1,ALL,isotonic,0.4000000000000001,global,False,0.47379310344827585,0.24066390041493776,4350
LONG,30,position_plus_topology,hold,1,BTCUSDT,isotonic,0.4000000000000001,symbol_specific,False,0.4985941893158388,0.1770954356846473,1067
LONG,30,position_plus_topology,hold,1,ETHUSDT,isotonic,0.4000000000000001,symbol_specific,False,0.4844290657439446,0.23983402489626557,1445
LONG,30,position_plus_topology,hold,1,SOLUSDT,isotonic,0.4000000000000001,symbol_specific,False,0.4510337323177367,0.3050622406639004,1838
LONG,30,position_plus_topology_compact_matrix,exit,1,ALL,isotonic,0.3,global,False,0.45339985927205273,0.864896265560166,15633
LONG,30,position_plus_topology_compact_matrix,exit,1,BTCUSDT,isotonic,0.4000000000000001,symbol_specific,False,0.4684507042253521,0.5892116182572614,3550
LONG,30,position_plus_topology_compact_matrix,exit,1,ETHUSDT,isotonic,0.3,symbol_specific,False,0.4536793026555848,0.8187551867219917,4933
LONG,30,position_plus_topology_compact_matrix,exit,1,SOLUSDT,isotonic,0.3,symbol_specific,False,0.464205623598413,0.9621576763485478,5797
LONG,30,position_plus_topology_compact_matrix,hold,1,ALL,isotonic,0.4000000000000001,global,False,0.46051125524608927,0.29001383125864455,5242
LONG,30,position_plus_topology_compact_matrix,hold,1,BTCUSDT,isotonic,0.4000000000000001,symbol_specific,False,0.47259832366215343,0.25742738589211617,1551
LONG,30,position_plus_topology_compact_matrix,hold,1,ETHUSDT,isotonic,0.4000000000000001,symbol_specific,False,0.4592760180995475,0.2934439834024896,1768
LONG,30,position_plus_topology_compact_matrix,hold,1,SOLUSDT,isotonic,0.4000000000000001,symbol_specific,False,0.45189807592303693,0.3191701244813278,1923
LONG,30,position_plus_topology,exit,2,ALL,isotonic,0.4500000000000001,global,True,0.4878048780487805,0.0045353982300884955,82
LONG,30,position_plus_topology,exit,2,BTCUSDT,isotonic,0.4250000000000001,symbol_specific,False,0.45729303547963207,0.12620232172470977,761
LONG,30,position_plus_topology,exit,2,ETHUSDT,isotonic,0.4250000000000001,symbol_specific,False,0.4784899034240562,0.18904564315352698,1139
LONG,30,position_plus_topology,exit,2,SOLUSDT,isotonic,0.4500000000000001,symbol_specific,True,0.45454545454545453,0.009128630705394191,55
LONG,30,position_plus_topology,hold,2,ALL,isotonic,0.4250000000000001,global,False,0.4694973157637872,0.11332964601769911,2049
LONG,30,position_plus_topology,hold,2,BTCUSDT,isotonic,0.47500000000000014,symbol_specific,True,0.4673913043478261,0.015257048092868989,92
LONG,30,position_plus_topology,hold,2,ETHUSDT,isotonic,0.4250000000000001,symbol_specific,False,0.46899841017488075,0.10439834024896266,629
LONG,30,position_plus_topology,hold,2,SOLUSDT,isotonic,0.4250000000000001,symbol_specific,False,0.48313492063492064,0.16730290456431535,1008
LONG,30,position_plus_topology_compact_matrix,exit,2,ALL,isotonic,0.4500000000000001,global,False,0.4538966600057094,0.19375,3503
LONG,30,position_plus_topology_compact_matrix,exit,2,BTCUSDT,isotonic,0.4500000000000001,symbol_specific,False,0.46017699115044247,0.13117744610281923,791
LONG,30,position_plus_topology_compact_matrix,exit,2,ETHUSDT,isotonic,0.4500000000000001,symbol_specific,False,0.45509499136442144,0.19219917012448132,1158
LONG,30,position_plus_topology_compact_matrix,exit,2,SOLUSDT,isotonic,0.4000000000000001,symbol_specific,False,0.45,0.4049792531120332,2440
LONG,30,position_plus_topology_compact_matrix,hold,2,ALL,isotonic,0.4000000000000001,global,False,0.4591869918699187,0.1700774336283186,3075
LONG,30,position_plus_topology_compact_matrix,hold,2,BTCUSDT,isotonic,0.4250000000000001,symbol_specific,False,0.4550561797752809,0.08855721393034825,534
LONG,30,position_plus_topology_compact_matrix,hold,2,ETHUSDT,isotonic,0.4000000000000001,symbol_specific,False,0.4513184584178499,0.1636514522821577,986
LONG,30,position_plus_topology_compact_matrix,hold,2,SOLUSDT,isotonic,0.4000000000000001,symbol_specific,False,0.47732030704815076,0.23784232365145228,1433
LONG,30,position_plus_topology,exit,3,ALL,isotonic,0.4500000000000001,global,False,0.4664391353811149,0.04863070539419087,879
LONG,30,position_plus_topology,exit,3,BTCUSDT,isotonic,0.4500000000000001,symbol_specific,True,0.4263959390862944,0.03269709543568465,197
LONG,30,position_plus_topology,exit,3,ETHUSDT,isotonic,0.4500000000000001,symbol_specific,False,0.4837837837837838,0.061410788381742736,370
LONG,30,position_plus_topology,exit,3,SOLUSDT,isotonic,0.4500000000000001,symbol_specific,False,0.47115384615384615,0.051784232365145226,312
LONG,30,position_plus_topology,hold,3,ALL,isotonic,0.4000000000000001,global,False,0.45656028368794327,0.18721991701244814,3384
LONG,30,position_plus_topology,hold,3,BTCUSDT,isotonic,0.4250000000000001,symbol_specific,False,0.4752186588921283,0.05692946058091286,343
LONG,30,position_plus_topology,hold,3,ETHUSDT,isotonic,0.4000000000000001,symbol_specific,False,0.4864864864864865,0.1658091286307054,999
LONG,30,position_plus_topology,hold,3,SOLUSDT,isotonic,0.4000000000000001,symbol_specific,False,0.46629560915275203,0.2683817427385892,1617
LONG,30,position_plus_topology_compact_matrix,exit,3,ALL,isotonic,0.4250000000000001,global,True,0.43937575030012005,0.23042876901798062,4165
LONG,30,position_plus_topology_compact_matrix,exit,3,BTCUSDT,isotonic,0.4250000000000001,symbol_specific,True,0.3824228028503563,0.13975103734439834,842
LONG,30,position_plus_topology_compact_matrix,exit,3,ETHUSDT,isotonic,0.4250000000000001,symbol_specific,False,0.46578730420445175,0.20132780082987553,1213
LONG,30,position_plus_topology_compact_matrix,exit,3,SOLUSDT,isotonic,0.4000000000000001,symbol_specific,True,0.4498249708284714,0.5689626556016597,3428
LONG,30,position_plus_topology_compact_matrix,hold,3,ALL,isotonic,0.4250000000000001,global,False,0.46171927468099394,0.16475795297372062,2978
LONG,30,position_plus_topology_compact_matrix,hold,3,BTCUSDT,isotonic,0.4500000000000001,symbol_specific,False,0.48292682926829267,0.03402489626556016,205
LONG,30,position_plus_topology_compact_matrix,hold,3,ETHUSDT,isotonic,0.4000000000000001,symbol_specific,False,0.4542349726775956,0.24298755186721993,1464
LONG,30,position_plus_topology_compact_matrix,hold,3,SOLUSDT,isotonic,0.4000000000000001,symbol_specific,False,0.4613715277777778,0.3824066390041494,2304
LONG,60,position_plus_topology,exit,1,ALL,isotonic,0.3,global,False,0.47725582193740346,0.9663809787116395,17477
LONG,60,position_plus_topology,exit,1,BTCUSDT,isotonic,0.3,symbol_specific,False,0.47320034692107543,0.9560530679933665,5765
LONG,60,position_plus_topology,exit,1,ETHUSDT,isotonic,0.3,symbol_specific,False,0.4835779175401817,0.9492537313432836,5724
LONG,60,position_plus_topology,exit,1,SOLUSDT,isotonic,0.35000000000000003,symbol_specific,False,0.4751962585602138,0.9936929460580913,5987
LONG,60,position_plus_topology,hold,1,ALL,isotonic,0.4500000000000001,global,False,0.4857934857934858,0.23936964335084324,4329
LONG,60,position_plus_topology,hold,1,BTCUSDT,isotonic,0.4500000000000001,symbol_specific,False,0.4993939393939394,0.13681592039800994,825
LONG,60,position_plus_topology,hold,1,ETHUSDT,isotonic,0.4500000000000001,symbol_specific,False,0.4887365328109696,0.16932006633499172,1021
LONG,60,position_plus_topology,hold,1,SOLUSDT,isotonic,0.3,symbol_specific,False,0.4678731529138303,0.9996680497925311,6023
LONG,60,position_plus_topology_compact_matrix,exit,1,ALL,isotonic,0.3,global,False,0.4706371191135734,0.9980646944982029,18050
LONG,60,position_plus_topology_compact_matrix,exit,1,BTCUSDT,isotonic,0.3,symbol_specific,False,0.46473029045643155,0.9991708126036484,6025
LONG,60,position_plus_topology_compact_matrix,exit,1,ETHUSDT,isotonic,0.3,symbol_specific,False,0.47333333333333333,0.9950248756218906,6000
LONG,60,position_plus_topology_compact_matrix,exit,1,SOLUSDT,isotonic,0.3,symbol_specific,False,0.4738589211618257,1.0,6025
LONG,60,position_plus_topology_compact_matrix,hold,1,ALL,isotonic,0.4000000000000001,global,False,0.45190209377764673,0.9375172795134089,16955
LONG,60,position_plus_topology_compact_matrix,hold,1,BTCUSDT,isotonic,0.4250000000000001,symbol_specific,True,0.44637253092117407,0.8983416252072969,5417
LONG,60,position_plus_topology_compact_matrix,hold,1,ETHUSDT,isotonic,0.4500000000000001,symbol_specific,True,0.4498703543647364,0.7674958540630182,4628
LONG,60,position_plus_topology_compact_matrix,hold,1,SOLUSDT,isotonic,0.3,symbol_specific,False,0.46804979253112033,1.0,6025
LONG,60,position_plus_topology,exit,2,ALL,isotonic,0.3,global,False,0.45396596640984427,0.9975670445120265,18041
LONG,60,position_plus_topology,exit,2,BTCUSDT,isotonic,0.37500000000000006,symbol_specific,False,0.4603559870550162,0.8199004975124378,4944
LONG,60,position_plus_topology,exit,2,ETHUSDT,isotonic,0.35000000000000003,symbol_specific,False,0.4607451763140386,0.9970149253731343,6012
LONG,60,position_plus_topology,exit,2,SOLUSDT,isotonic,0.3,symbol_specific,False,0.4597510373443983,1.0,6025
LONG,60,position_plus_topology,hold,2,ALL,isotonic,0.3,global,False,0.4514791263478021,1.0,18085
LONG,60,position_plus_topology,hold,2,BTCUSDT,isotonic,0.4250000000000001,symbol_specific,False,0.45939319644498927,0.5411276948590381,3263
